"id incidentes","id de location","incident_title","incident_description","incident_date","incident_mode","incident_active","incident_verified","id cat","categoria","id inci","cat id","location_name","latitude","longitude","location id "
18,17,"Red de agua potable","Red de agua potable manzana 3","2014-06-12 15:44:00",1,1,1,15,"water",18,15,"Fátima (ex Villa 3), Manzana 3",-34.661004,-58.452647,17
18,17,"Red de agua potable","Red de agua potable manzana 3","2014-06-12 15:44:00",1,1,1,23,"Fatima",18,23,"Fátima (ex Villa 3), Manzana 3",-34.661004,-58.452647,17
21,19,"Tendido eléctrico","Tendido eléctrico manzana 5","2014-06-17 09:50:00",1,1,1,17,"energy",21,17,"Fátima (ex Villa 3) Manzana 5",-34.661684,-58.452968,19
21,19,"Tendido eléctrico","Tendido eléctrico manzana 5","2014-06-17 09:50:00",1,1,1,23,"Fatima",21,23,"Fátima (ex Villa 3) Manzana 5",-34.661684,-58.452968,19
22,20,"Tendido eléctrico","Tendido eléctrico manzana 3 y 6","2014-06-17 10:08:00",1,1,1,17,"energy",22,17,"Fátima (ex Villa 3) Manzana  3 y 6",-34.661004,-58.452647,20
22,20,"Tendido eléctrico","Tendido eléctrico manzana 3 y 6","2014-06-17 10:08:00",1,1,1,23,"Fatima",22,23,"Fátima (ex Villa 3) Manzana  3 y 6",-34.661004,-58.452647,20
23,21,"Tendido eléctrico","Tendido eléctrico manzana 18 y transferencias","2014-06-17 10:14:00",1,1,1,17,"energy",23,17,"Villa 21-24 Manzana 18 y transferencias",-34.652136,-58.39808,21
24,22,"Tendido eléctrico","Tendido eléctrico manzana 9,10, 11 y 12","2014-06-17 10:27:00",1,1,1,17,"energy",24,17,"Villa 21-24 Manzana 9,10, 11 y 12",-34.655277,-58.399453,22
24,22,"Tendido eléctrico","Tendido eléctrico manzana 9,10, 11 y 12","2014-06-17 10:27:00",1,1,1,25,"Villa 21-24",24,25,"Villa 21-24 Manzana 9,10, 11 y 12",-34.655277,-58.399453,22
25,23,"Tendido eléctrico","Tendido eléctrico manzana 1","2014-06-17 10:37:00",1,1,1,17,"energy",25,17,"Villa 21-24 Manzana 1",-34.655277,-58.399453,23
25,23,"Tendido eléctrico","Tendido eléctrico manzana 1","2014-06-17 10:37:00",1,1,1,25,"Villa 21-24",25,25,"Villa 21-24 Manzana 1",-34.655277,-58.399453,23
26,24,"Tendido eléctrico","Tendido eléctrico manzana 18","2014-06-17 10:41:00",1,1,1,17,"energy",26,17,"Villa 21-24 Manzana 18",-34.655277,-58.399453,24
26,24,"Tendido eléctrico","Tendido eléctrico manzana 18","2014-06-17 10:41:00",1,1,1,25,"Villa 21-24",26,25,"Villa 21-24 Manzana 18",-34.655277,-58.399453,24
27,25,"Red cloacal","Red cloacal tiras 1 a 11","2014-06-17 10:47:00",1,1,1,16,"sewer",27,16,"Zavaleta Tiras 1 a 11",-34.655277,-58.399453,25
28,26,"Puesta en valor de Poliderportivo","Puesta en valor de Poliderportivo Los Piletones","2014-06-17 10:50:00",1,1,1,21,"infrastructure",28,21,"Piletones Poliderportivo Los Piletones",-34.655277,-58.399453,26
28,26,"Puesta en valor de Poliderportivo","Puesta en valor de Poliderportivo Los Piletones","2014-06-17 10:50:00",1,1,1,26,"Los piletones",28,26,"Piletones Poliderportivo Los Piletones",-34.655277,-58.399453,26
29,27,"Puesta en valor plaza","Puesta en valor de Plaza Niño Jesús","2014-06-17 10:54:00",1,1,1,19,"infrastructure",29,19,"Villa 20 Plaza Niño Jesús",-34.655277,-58.399453,27
29,27,"Puesta en valor plaza","Puesta en valor de Plaza Niño Jesús","2014-06-17 10:54:00",1,1,1,24,"Villa 20",29,24,"Villa 20 Plaza Niño Jesús",-34.655277,-58.399453,27
